,Employee ID,Full Name,Start Date,Title,Supervisor,Mail,Business Unit,Employee Status,Job Type,Zone,Contract Type,Termination Type,Department,Division,Date of Birth,State,Job,Gender,Zipcode,RaceDesc,Marital Status,Performance Score,Current Employee Rating
15,3442,Kaylah Moon,09-Jul-19,Area Sales Manager,Ashley Scott,kaylah.moon@bilearner.com,PYZ,Active,Full-Time,Zone A,Full-Time,Retirement,IT,Field Operations,24-11-1952,Massachussets,Laborer,Male,2810,Black,Single,Exceeds,2
16,3443,Kristen Tate,05-Apr-21,Area Sales Manager,Lauren Jones,kristen.tate@bilearner.com,WBL,Active,Full-Time,Zone C,Part-Time,Voluntary,IT,Project Management - Con,08-04-1994,Kentucky,Coordinator,Male,2621,Asian,Widowed,Fully Meets,3
17,3444,Bobby Rodgers,28-Nov-21,Area Sales Manager,Matthew Jackson,bobby.rodgers@bilearner.com,NEL,Active,Contract,Zone A,Part-Time,Voluntary,Sales,Engineers,15-11-1983,Kentucky,Director,Male,44553,Other,Widowed,Fully Meets,3
18,3445,Reid Park,16-Jan-21,Area Sales Manager,Michelle Mitchell,reid.park@bilearner.com,PL,Active,Contract,Zone C,Full-Time,Unknown,Sales,Project Management - Con,07-12-1985,Kentucky,Supervisor,Female,5360,Other,Married,Exceeds,4
19,3446,Hector Dalton,24-Aug-21,Area Sales Manager,Sydney French,hector.dalton@bilearner.com,BPC,Active,Part-Time,Zone A,Part-Time,Unknown,Sales,Field Operations,01-05-1996,Texas,Driller,Female,16325,White,Divorced,Exceeds,2
20,3447,Mariela Schultz,26-May-20,Area Sales Manager,Michelle Evans MD,mariela.schultz@bilearner.com,CCDR,Future Start,Part-Time,Zone C,Part-Time,Involuntary,Sales, General - Conference,17-02-1964,Texas,Technician,Female,43481,Asian,Widowed,Fully Meets,3
21,3448,Angela Molina,01-Oct-19,Area Sales Manager,Patricia Cook,angela.molina@bilearner.com,SVG,Future Start,Full-Time,Zone A,Temporary,Retirement,Sales,Engineers,12-05-1958,Texas,Specialist,Male,50705,Asian,Widowed,Fully Meets,3
22,3449,Gerald Preston,10-May-23,Area Sales Manager,Ashley Reeves,gerald.preston@bilearner.com,EW,Future Start,Contract,Zone B,Temporary,Involuntary,Sales,General - Engineering,18-09-1992,Colorado,Technician,Male,5168,Black,Single,Fully Meets,5
23,3450,Reilly Moyer,01-Sep-20,Area Sales Manager,Stanley Harvey,reilly.moyer@bilearner.com,MSC,Active,Contract,Zone C,Temporary,Resignation,Sales,Field Operations,11-08-1994,Colorado,Operator,Male,11765,Other,Single,Exceeds,2
24,3451,Carlee French,18-Feb-21,Area Sales Manager,Michael Bradshaw,carlee.french@bilearner.com,TNS,Active,Contract,Zone C,Full-Time,Voluntary,Sales, General - Conference,15-01-1968,Colorado,Technician,Male,71071,Other,Divorced,Exceeds,3
25,3452,Jaydon Blackburn,08-Nov-22,Area Sales Manager,Debbie Crosby,jaydon.blackburn@bilearner.com,PYZ,Active,Part-Time,Zone A,Part-Time,Unknown,Sales, General - Conference,07-01-1947,Indiana,Foreman,Male,12122,Black,Divorced,Fully Meets,2
26,3453,Bridger Carter,13-Oct-22,Area Sales Manager,Elizabeth Taylor,bridger.carter@bilearner.com,WBL,Active,Contract,Zone C,Part-Time,Unknown,Sales,Fielders,07-04-1982,Massachussets,Engineer,Male,87065,White,Widowed,Fully Meets,4
27,3454,Leon Beard,11-Sep-22,Area Sales Manager,Brian Dunlap,leon.beard@bilearner.com,PYZ,Active,Full-Time,Zone C,Full-Time,Unknown,IT, General - Conference,29-01-1970,Kentucky,Foreman,Male,10415,Hispanic,Married,Needs Improvement,4
28,3455,Charity Miranda,29-Jun-21,Area Sales Manager,Daniel Rodriguez,charity.miranda@bilearner.com,WBL,Active,Full-Time,Zone C,Temporary,Resignation,Sales,Project Management - Eng,18-01-1999,Kentucky,Manager,Male,3763,Other,Widowed,Exceeds,4
29,3456,Axel Howe,06-Mar-23,Area Sales Manager,Martin Hammond,axel.howe@bilearner.com,NEL,Active,Full-Time,Zone A,Temporary,Unknown,Sales,Field Operations,25-09-1946,Kentucky,Technician,Female,79623,Black,Divorced,Fully Meets,3
30,3457,Milton Wall,25-Sep-20,Area Sales Manager,Sara Bell,milton.wall@bilearner.com,PL,Active,Full-Time,Zone B,Temporary,Unknown,Sales,Engineers,23-08-1947,Kentucky,Technician,Female,69189,White,Divorced,Needs Improvement,3
31,3458,Cory Robinson,28-Apr-22,Area Sales Manager,Elizabeth Anderson,cory.robinson@bilearner.com,BPC,Future Start,Contract,Zone A,Full-Time,Voluntary,Sales,Field Operations,12-08-1996,Texas,Laborer,Female,5194,Hispanic,Single,Needs Improvement,3
32,3459,Saniya Yu,18-Apr-21,Area Sales Manager,Erin Bailey,saniya.yu@bilearner.com,CCDR,Future Start,Part-Time,Zone A,Full-Time,Retirement,Sales, General - Conference,09-02-1944,Texas,Splicer,Male,8779,Black,Widowed,Exceeds,2
33,3460,Alisa James,19-Feb-20,Area Sales Manager,Dennis Henderson,alisa.james@bilearner.com,SVG,Active,Full-Time,Zone A,Full-Time,Unknown,Sales,Aerial,10-02-1944,Texas,Lineman,Male,74682,Asian,Married,Fully Meets,3
34,3461,Lincoln Compton,18-Jul-19,Area Sales Manager,Tammy Conner,lincoln.compton@bilearner.com,EW,Future Start,Full-Time,Zone C,Part-Time,Resignation,Sales, General - Conference,29-12-1997,Colorado,Foreman,Male,78046,Hispanic,Married,Needs Improvement,1
35,3462,Aliana Nolan,13-Sep-18,Area Sales Manager,Brianna Mathews,aliana.nolan@bilearner.com,MSC,Active,Contract,Zone A,Full-Time,Involuntary,Sales,Field Operations,09-08-1942,Colorado,Coordinator,Male,27270,Hispanic,Divorced,Needs Improvement,3
36,3463,Kayden Dodson,30-Apr-20,Area Sales Manager,Jessica Peters,kayden.dodson@bilearner.com,TNS,Active,Part-Time,Zone A,Temporary,Retirement,Sales,Field Operations,21-06-1951,Indiana,Tower Hand,Male,12703,Hispanic,Single,Fully Meets,1
37,3464,James Duke,03-Dec-18,Area Sales Manager,Mark Harris,james.duke@bilearner.com,PYZ,Active,Contract,Zone B,Full-Time,Involuntary,Sales,Shop (Fleet),17-06-1998,Massachussets,Mechanic,Male,66835,Black,Widowed,Needs Improvement,5
38,3465,Willow Stuart,08-Nov-21,Area Sales Manager,Elizabeth Tapia,willow.stuart@bilearner.com,WBL,Active,Full-Time,Zone B,Full-Time,Unknown,Sales, General - Conference,07-01-1962,Massachussets,Flagger,Male,66150,Asian,Divorced,Needs Improvement,3
39,3466,Clayton Walker,13-Apr-22,Area Sales Manager,Jon Holden,clayton.walker@bilearner.com,PYZ,Active,Part-Time,Zone C,Full-Time,Retirement,IT,Aerial,26-01-1979,Kentucky,Supervisor,Male,64288,Other,Married,Exceeds,4
40,3467,Celia Curtis,06-May-20,Area Sales Manager,Michael Odonnell,celia.curtis@bilearner.com,WBL,Active,Contract,Zone A,Part-Time,Unknown,Sales,Fielders,14-05-1987,Kentucky,Engineer,Female,94333,Asian,Divorced,Exceeds,1
41,3468,Valentin Reilly,09-Sep-19,Area Sales Manager,Andres Parker,valentin.reilly@bilearner.com,NEL,Active,Contract,Zone B,Temporary,Unknown,Sales,Wireline Construction,26-04-1998,Kentucky,Foreman,Female,45453,Black,Single,Fully Meets,4
42,3469,Ryland Shepherd,29-Jul-20,Area Sales Manager,James Berry,ryland.shepherd@bilearner.com,PL,Future Start,Contract,Zone B,Full-Time,Resignation,Sales,Field Operations,21-02-1945,Texas,Driver,Female,81905,Asian,Divorced,Needs Improvement,3
43,3470,Esteban Gilbert,14-Nov-18,Area Sales Manager,Gail Ali,esteban.gilbert@bilearner.com,BPC,Future Start,Contract,Zone C,Part-Time,Retirement,Sales,Field Operations,31-05-1997,Texas,Technician,Female,12491,Black,Married,Needs Improvement,3
44,3471,Jonathan Adkins,29-Feb-20,Area Sales Manager,John Marshall,jonathan.adkins@bilearner.com,CCDR,Active,Part-Time,Zone C,Temporary,Unknown,Sales,Field Operations,03-01-1967,Texas,Foreman,Male,64350,Asian,Married,Fully Meets,4
45,3472,Nevaeh Soto,15-Jan-23,Area Sales Manager,Jessica Chang,nevaeh.soto@bilearner.com,SVG,Active,Contract,Zone C,Full-Time,Unknown,Sales,Project Management - Con,12-01-1982,Texas,Director,Male,74124,Other,Married,Exceeds,4
46,3473,Chaim Mata,29-Jun-23,Area Sales Manager,Desiree Vang,chaim.mata@bilearner.com,EW,Active,Part-Time,Zone A,Temporary,Unknown,Sales,Shop (Fleet),01-10-1950,Colorado,Manager,Male,33379,Hispanic,Widowed,Exceeds,2
47,3474,Arely Patton,09-Mar-20,Area Sales Manager,Andrew Goodman,arely.patton@bilearner.com,MSC,Active,Full-Time,Zone A,Temporary,Unknown,Sales,Cable Television,16-12-1965,Colorado,Laborer,Male,34481,Other,Divorced,Fully Meets,2
48,3475,Vance Trujillo,21-Sep-21,Area Sales Manager,Rebecca Simpson,vance.trujillo@bilearner.com,TNS,Active,Full-Time,Zone C,Temporary,Resignation,Sales, General - Conference,25-12-1957,Indiana,Foreman,Male,90406,Asian,Widowed,Fully Meets,2
49,3476,Charlie Koch,12-Jun-23,Area Sales Manager,Samantha Cardenas,charlie.koch@bilearner.com,PYZ,Active,Part-Time,Zone A,Temporary,Voluntary,Sales,Fielders,20-06-1945,Massachussets,Engineer,Male,95774,Asian,Divorced,Needs Improvement,2
50,3477,Sonny Horne,07-Apr-19,Area Sales Manager,Nancy Johnson,sonny.horne@bilearner.com,PYZ,Active,Part-Time,Zone A,Full-Time,Unknown,IT,Aerial,03-12-1969,Kentucky,Laborer,Female,16058,Asian,Widowed,Needs Improvement,2
51,3478,Thomas Chandler,17-Sep-18,Area Sales Manager,Richard Hodges,thomas.chandler@bilearner.com,WBL,Active,Full-Time,Zone C,Temporary,Resignation,Sales,Wireline Construction,10-10-1957,Kentucky,Groundman,Female,45149,Hispanic,Married,Fully Meets,2
52,3479,Sarai Stone,02-Aug-22,Area Sales Manager,Madison Wilson,sarai.stone@bilearner.com,NEL,Active,Contract,Zone A,Part-Time,Involuntary,Sales,Project Management - Con,17-05-1962,Texas,Technician,Female,96336,Hispanic,Widowed,Fully Meets,2
53,3480,Jerimiah Harmon,08-Sep-22,Area Sales Manager,Eric King,jerimiah.harmon@bilearner.com,PL,Future Start,Full-Time,Zone C,Temporary,Retirement,Sales,Cable Television,09-08-1946,Texas,Supervisor,Female,75671,Black,Widowed,Fully Meets,1
54,3481,Leland Allen,07-Mar-19,Area Sales Manager,Brandon Harris,leland.allen@bilearner.com,BPC,Future Start,Full-Time,Zone C,Part-Time,Voluntary,Sales,Wireline Construction,11-12-1965,Texas,Splicer,Male,61149,Other,Widowed,Fully Meets,4
55,3482,Cristal Bolton,29-Oct-19,Area Sales Manager,Matthew Flores,cristal.bolton@bilearner.com,CCDR,Future Start,Full-Time,Zone A,Temporary,Resignation,Sales,Cable Television,11-02-1990,Texas,Lineman,Male,57302,Asian,Divorced,Needs Improvement,2
56,3483,Jaslene Harding,26-Sep-21,Area Sales Manager,Krystal Hamilton,jaslene.harding@bilearner.com,SVG,Active,Part-Time,Zone B,Temporary,Unknown,Sales,Project Management - Con,19-06-1964,Colorado,Coordinator,Male,42605,Asian,Widowed,Fully Meets,1
57,3484,Albert Gonzalez,29-Aug-18,Area Sales Manager,Amber Hernandez,albert.gonzalez@bilearner.com,EW,Active,Part-Time,Zone B,Full-Time,Unknown,Sales, General - Conference,18-07-1995,Colorado,Model Assistant,Male,64036,Other,Single,Fully Meets,4
58,3485,Jaiden Johnson,26-Oct-21,Area Sales Manager,Patricia Smith,jaiden.johnson@bilearner.com,MSC,Active,Contract,Zone C,Full-Time,Unknown,Sales,Field Operations,22-08-1994,Colorado,Laborer,Male,23173,White,Widowed,Fully Meets,5
59,3486,Brendon Mcconnell,31-Oct-22,Area Sales Manager,Victoria Krause,brendon.mcconnell@bilearner.com,TNS,Active,Part-Time,Zone C,Temporary,Involuntary,Sales,Fielders,14-11-1990,Indiana,Engineer,Male,19665,Other,Widowed,Fully Meets,4
60,3487,Kimora Parsons,15-Mar-23,Area Sales Manager,Jesse Hunt,kimora.parsons@bilearner.com,BPC,Active,Contract,Zone B,Part-Time,Unknown,Sales,General - Selling General and Administrative,01-02-1994,Kentucky,Administrator,Female,41161,Other,Divorced,Fully Meets,4
61,3488,Willie Patterson,09-Sep-22,Area Sales Manager,Shane Jones,willie.patterson@bilearner.com,CCDR,Active,Contract,Zone B,Full-Time,Unknown,Sales,Wireline Construction,12-11-1997,Kentucky,Lineman,Female,52499,Asian,Single,Fully Meets,2
62,3489,Devyn Powers,04-Mar-22,Area Sales Manager,Jessica Murphy,devyn.powers@bilearner.com,EW,Active,Part-Time,Zone A,Temporary,Unknown,Sales,Field Operations,02-05-1953,Texas,Laborer,Female,25634,Black,Divorced,Fully Meets,2
63,3490,Weston Preston,11-Feb-19,Area Sales Manager,Crystal Wallace,weston.preston@bilearner.com,MSC,Active,Part-Time,Zone A,Part-Time,Unknown,Sales,General - Selling General and Administrative,10-07-1991,Texas,Director,Female,37965,Hispanic,Divorced,Fully Meets,2
64,3491,Lennon Buchanan,26-Jan-21,Area Sales Manager,Tina Nelson,lennon.buchanan@bilearner.com,NEL,Active,Contract,Zone B,Full-Time,Unknown,Sales,Field Operations,02-06-1973,Texas,Driver,Male,39504,White,Widowed,Fully Meets,5
65,3492,Vicente Merritt,26-Nov-19,Area Sales Manager,Ashley Smith,vicente.merritt@bilearner.com,PL,Active,Full-Time,Zone C,Full-Time,Unknown,Sales, General - Conference,08-01-1993,Colorado,Clerk,Male,31676,Asian,Married,Fully Meets,1
66,3493,Hugo Clay,15-Jul-19,Area Sales Manager,Eric Taylor,hugo.clay@bilearner.com,PYZ,Active,Full-Time,Zone C,Full-Time,Unknown,Sales,Project Management - Con,17-04-1984,Colorado,Project Manager,Male,28784,Asian,Widowed,Fully Meets,5
67,3494,Cohen Raymond,18-Jun-20,Area Sales Manager,Jacob Snyder,cohen.raymond@bilearner.com,SVG,Active,Contract,Zone B,Full-Time,Unknown,Sales, General - Conference,08-02-1994,Colorado,Technician,Male,90983,Black,Single,Fully Meets,4
68,3495,Tia Ellis,22-Jun-23,Area Sales Manager,Daniel Cabrera,tia.ellis@bilearner.com,TNS,Active,Part-Time,Zone B,Temporary,Retirement,Sales,Wireline Construction,27-01-1993,Indiana,Laborer,Male,1115,Other,Married,Fully Meets,4
69,3496,Aspen Bentley,02-Dec-21,Area Sales Manager,Barbara Garcia,aspen.bentley@bilearner.com,WBL,Active,Contract,Zone A,Part-Time,Unknown,Sales,General - Selling General and Administrative,19-09-1964,California,Administrator,Male,72233,Other,Widowed,Fully Meets,5
70,3497,Graham Rodriguez,08-Dec-21,Area Sales Manager,Kendra Murray,graham.rodriguez@bilearner.com,TNS,Active,Part-Time,Zone C,Temporary,Unknown,Sales,Project Management - Con,18-02-1981,Oregon,Lineman,Female,58210,Hispanic,Widowed,Fully Meets,1
71,3498,Joel Mcmillan,26-Apr-23,Area Sales Manager,Peter Harvey,joel.mcmillan@bilearner.com,PYZ,Active,Full-Time,Zone A,Full-Time,Voluntary,Sales,General - Selling General and Administrative,17-10-1998,Kentucky,Laborer,Female,36087,White,Widowed,Fully Meets,2
72,3499,Maci Frost,25-Sep-18,Area Sales Manager,Patrick Daniel,maci.frost@bilearner.com,WBL,Active,Part-Time,Zone C,Temporary,Involuntary,Sales,Field Operations,16-01-1971,Kentucky,Technician,Female,61457,Asian,Widowed,Fully Meets,5
73,3500,Nevaeh Lucas,20-Nov-18,Area Sales Manager,Bryan Douglas,nevaeh.lucas@bilearner.com,NEL,Active,Full-Time,Zone B,Part-Time,Voluntary,Sales,Shop (Fleet),25-02-2000,Texas,Mechanic,Female,80424,White,Divorced,Fully Meets,1
74,3501,Garrett Zimmerman,30-Aug-20,Area Sales Manager,Destiny Hopkins,garrett.zimmerman@bilearner.com,PL,Future Start,Part-Time,Zone A,Part-Time,Retirement,Sales, General - Conference,19-04-1959,Texas,Technician,Male,6240,Other,Widowed,Fully Meets,4
75,3502,Eugene Marks,01-Oct-19,Area Sales Manager,Angela Morris,eugene.marks@bilearner.com,BPC,Active,Full-Time,Zone C,Temporary,Unknown,Sales,Splicing,29-06-1976,Texas,Electrician,Male,49914,White,Married,Fully Meets,1
76,3503,Geovanni Pugh,20-Jan-22,Area Sales Manager,Erica Franklin,geovanni.pugh@bilearner.com,CCDR,Active,Part-Time,Zone A,Temporary,Unknown,Sales,Project Management - Con,27-07-1951,Colorado,Manager,Male,71319,Other,Single,Fully Meets,4
77,3504,Javon Kelley,10-Oct-21,Area Sales Manager,Gabriela Orr,javon.kelley@bilearner.com,SVG,Active,Full-Time,Zone B,Part-Time,Unknown,Sales, General - Conference,23-08-1980,Colorado,Laborer,Male,27992,Hispanic,Married,Fully Meets,2
78,3505,Amaya Hicks,29-Aug-20,Area Sales Manager,Michael Wilkins,amaya.hicks@bilearner.com,EW,Active,Contract,Zone B,Temporary,Unknown,Sales,Field Operations,24-07-1943,Indiana,Groundman,Male,72324,Hispanic,Widowed,Fully Meets,1
79,3506,Laila Woodard,27-Aug-19,Area Sales Manager,Jordan Vega,laila.woodard@bilearner.com,MSC,Active,Full-Time,Zone B,Temporary,Voluntary,Sales,Field Operations,06-07-1988,Indiana,Technician,Male,38740,Other,Married,Fully Meets,2
80,3507,Ivan Huff,25-Feb-21,Area Sales Manager,John Miller,ivan.huff@bilearner.com,TNS,Active,Full-Time,Zone A,Full-Time,Retirement,Sales,Project Management - Con,24-03-1973,California,Manager,Male,9437,White,Single,Fully Meets,4
81,3508,Aidan Harding,13-Jul-21,Area Sales Manager,Trevor Adkins,aidan.harding@bilearner.com,CCDR,Active,Full-Time,Zone B,Part-Time,Unknown,Sales,Aerial,26-05-1942,Oregon,Laborer,Male,9385,Asian,Single,Fully Meets,5
82,3509,Cruz Boyer,14-Apr-21,Area Sales Manager,Marcus Hunt,cruz.boyer@bilearner.com,BPC,Active,Part-Time,Zone C,Full-Time,Unknown,Sales,General - Selling General and Administrative,04-11-1977,Kentucky,Project Controls,Female,75993,Black,Married,Fully Meets,2
83,3510,Raven Koch,10-Feb-20,Area Sales Manager,Jennifer King,raven.koch@bilearner.com,PYZ,Active,Part-Time,Zone A,Full-Time,Unknown,Sales, General - Conference,17-10-1956,Kentucky,Laborer,Female,65329,Hispanic,Married,Fully Meets,2
84,3511,Karli Barker,17-Aug-21,Area Sales Manager,Shawn Dudley,karli.barker@bilearner.com,WBL,Active,Part-Time,Zone B,Full-Time,Resignation,Sales,Finance & Accounting,18-02-1997,Kentucky,Director,Female,41111,Asian,Divorced,Fully Meets,4
85,3512,Tyrone Sosa,17-Apr-23,Area Sales Manager,Lindsay Chang,tyrone.sosa@bilearner.com,NEL,Future Start,Contract,Zone C,Temporary,Voluntary,Sales,Yard (Material Handling),25-10-1996,Texas,Coordinator,Female,58860,Black,Single,Fully Meets,2
86,3513,Damaris Cisneros,02-Sep-22,Area Sales Manager,Sharon Ruiz,damaris.cisneros@bilearner.com,PL,Future Start,Contract,Zone C,Temporary,Involuntary,Sales, General - Conference,13-11-1959,Texas,Laborer,Male,93051,Other,Married,Fully Meets,5
87,3514,Alexus Estes,15-Apr-20,Area Sales Manager,April Randolph,alexus.estes@bilearner.com,BPC,Active,Full-Time,Zone B,Part-Time,Unknown,Sales,Wireline Construction,03-01-1958,Texas,Manager,Male,17419,Asian,Married,Fully Meets,1
88,3515,Kinsley Flowers,09-Mar-22,Area Sales Manager,Mary Reilly,kinsley.flowers@bilearner.com,CCDR,Future Start,Part-Time,Zone A,Part-Time,Retirement,Sales,Finance & Accounting,29-04-1997,Colorado,Controller,Male,59593,White,Single,Fully Meets,4
89,3516,Deborah Love,07-Apr-22,Area Sales Manager,Eric Goodman,deborah.love@bilearner.com,SVG,Active,Contract,Zone B,Part-Time,Retirement,Sales,Project Management - Con,25-06-1988,Colorado,Coordinator,Male,96350,Asian,Divorced,Fully Meets,5
90,3517,Milagros Francis,19-Feb-20,Area Sales Manager,Caleb Schneider,milagros.francis@bilearner.com,EW,Active,Part-Time,Zone A,Part-Time,Unknown,Sales,Splicing,04-01-1942,Indiana,Splicer,Male,44469,Hispanic,Widowed,Fully Meets,4
91,3518,Roberto Michael,10-Apr-21,Area Sales Manager,Cheryl Henry,roberto.michael@bilearner.com,MSC,Active,Contract,Zone B,Part-Time,Involuntary,Sales,General - Engineering,24-05-1969,California,Coordinator,Female,13249,Hispanic,Married,Fully Meets,2
92,3519,Elaine Ewing,19-Dec-21,Area Sales Manager,Dan Hernandez,elaine.ewing@bilearner.com,TNS,Active,Part-Time,Zone C,Temporary,Resignation,Sales,Aerial,28-03-1951,California,Groundman,Male,17123,Hispanic,Widowed,Fully Meets,2
93,3520,Caiden Munoz,13-Dec-20,Area Sales Manager,Teresa Daniel,caiden.munoz@bilearner.com,TNS,Active,Full-Time,Zone C,Temporary,Involuntary,Sales,Project Management - Con,01-03-1963,North Dakota,Manager,Female,18983,Black,Divorced,Fully Meets,1
94,3521,Jocelyn Bradford,26-Feb-19,Area Sales Manager,Melissa Decker,jocelyn.bradford@bilearner.com,WBL,Active,Contract,Zone C,Part-Time,Unknown,Sales, General - Conference,16-04-1949,Kentucky,Electrician,Female,51795,Asian,Divorced,Fully Meets,4
95,3522,Marques Armstrong,02-Mar-20,Area Sales Manager,Michael Nguyen,marques.armstrong@bilearner.com,BPC,Active,Full-Time,Zone C,Part-Time,Unknown,Sales,Splicing,12-10-1983,Kentucky,Splicer,Female,34369,Other,Single,Fully Meets,1
96,3523,Rohan Chapman,25-Jun-21,Area Sales Manager,Tony Mcconnell,rohan.chapman@bilearner.com,CCDR,Active,Full-Time,Zone A,Temporary,Resignation,Sales, General - Conference,19-12-1978,Kentucky,Laborer,Female,23092,Other,Single,Fully Meets,2
97,3524,Emmanuel Franklin,26-Jul-21,Area Sales Manager,Adam Gibson,emmanuel.franklin@bilearner.com,EW,Future Start,Contract,Zone B,Full-Time,Resignation,Sales,Field Operations,11-11-1999,Texas,Laborer,Male,6074,Asian,Divorced,Fully Meets,2
98,3525,Clayton Mccormick,03-Jul-22,Area Sales Manager,Stephanie Duke,clayton.mccormick@bilearner.com,MSC,Future Start,Contract,Zone B,Temporary,Retirement,Sales, General - Conference,29-01-1967,Texas,Foreman,Male,72264,Hispanic,Single,Fully Meets,2
99,3526,Darius Krause,15-Sep-22,Area Sales Manager,Paige Flores MD,darius.krause@bilearner.com,NEL,Active,Full-Time,Zone B,Full-Time,Unknown,Sales, General - Conference,30-05-1948,Texas,Foreman,Male,28282,White,Widowed,Fully Meets,4
100,3527,Ahmed Hawkins,01-May-20,Area Sales Manager,Hannah Snyder,ahmed.hawkins@bilearner.com,PL,Active,Full-Time,Zone B,Temporary,Retirement,Sales,Aerial,15-10-1974,Colorado,Lineman,Male,46645,Black,Married,Fully Meets,1
101,3528,Kymani Benjamin,13-Oct-22,Area Sales Manager,William Ayala,kymani.benjamin@bilearner.com,PYZ,Active,Full-Time,Zone C,Part-Time,Unknown,Sales,Finance & Accounting,13-12-1991,Colorado,Accounting,Male,10790,Hispanic,Widowed,Fully Meets,2
102,3529,Callum Mcdaniel,03-Jan-20,Area Sales Manager,Samuel Moore,callum.mcdaniel@bilearner.com,SVG,Active,Part-Time,Zone C,Full-Time,Voluntary,Sales,Field Operations,18-06-1994,Indiana,Top Hand,Male,67282,Hispanic,Single,Fully Meets,2
